dataset,variant,local_layers,global_layers,probe_branch,message_depth,fold,directed_distance,expected_reachable,source_cell_id,target_cell_id,pair_drug_id,label,source_input_change,target_branch_change,baseline_logit,perturbed_logit,absolute_logit_change,signed_logit_change,source_nonzero,control_cell_id,control_target_branch_change,control_absolute_logit_change,control_nonzero
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000362,ACH-000218,11152667,1,11.395776748657227,0.0042433785274624825,5.810437202453613,5.810689926147461,0.00025272369384765625,-0.00025272369384765625,1,ACH-000137,2.077796807498089e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000369,ACH-000641,11977753,1,11.156707763671875,0.0010569848818704486,5.5204997062683105,5.520440578460693,5.91278076171875e-05,5.91278076171875e-05,1,ACH-000115,2.196856712544104e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000373,ACH-000914,10074640,1,6.294654846191406,0.00045845314161852,1.445252537727356,1.445225715637207,2.682209014892578e-05,2.682209014892578e-05,1,ACH-000129,2.591230213511153e-06,3.5762786865234375e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000375,ACH-000866,11178236,1,10.133111000061035,0.007039958611130714,5.751635551452637,5.751249313354492,0.00038623809814453125,0.00038623809814453125,1,ACH-000121,1.996136916204705e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000392,ACH-000879,107969,1,3.9681272506713867,0.00043669992010109127,3.9315185546875,3.9314804077148438,3.814697265625e-05,3.814697265625e-05,1,ACH-000115,2.2122949303593487e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000394,ACH-000586,10027278,1,10.90250015258789,0.0014898526715114713,1.2327463626861572,1.2325512170791626,0.0001951456069946289,0.0001951456069946289,1,ACH-000124,1.6674671314831357e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000396,ACH-000841,10368812,1,3.8045246601104736,8.632635581307113e-05,2.7802348136901855,2.7802300453186035,4.76837158203125e-06,4.76837158203125e-06,1,ACH-000121,2.1953508166916436e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000400,ACH-000132,104842,1,3.98006010055542,0.0011654143454506993,5.35567569732666,5.355275630950928,0.0004000663757324219,0.0004000663757324219,1,ACH-000120,2.566523562563816e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000439,ACH-000386,10127622,1,5.284341335296631,5.9574223996605724e-05,2.5355238914489746,2.535520076751709,3.814697265625e-06,3.814697265625e-06,1,ACH-000146,2.0699210381280864e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000439,ACH-000534,10109823,1,5.284341335296631,9.032307571033016e-05,-1.9031250476837158,-1.9031310081481934,5.9604644775390625e-06,5.9604644775390625e-06,1,ACH-000169,2.4309877062478336e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000463,ACH-000859,10109823,1,7.2575883865356445,0.005797125864773989,-0.9299442172050476,-0.929922342300415,2.187490463256836e-05,-2.187490463256836e-05,1,ACH-000142,2.2637509573542047e-06,5.960464477539063e-08,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000464,ACH-000559,11152667,1,3.8241615295410156,0.0002614964614622295,-1.7375528812408447,-1.737561583518982,8.702278137207031e-06,8.702278137207031e-06,1,ACH-000153,2.2947820070839953e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000470,ACH-000355,11754511,1,10.195212364196777,0.001186405774205923,0.4504743218421936,0.4507952630519867,0.0003209412097930908,-0.0003209412097930908,1,ACH-000149,2.2852425445307745e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000481,ACH-000380,10074640,1,9.878068923950195,0.001982438378036022,3.848299503326416,3.8481497764587402,0.00014972686767578125,0.00014972686767578125,1,ACH-000176,2.0780951217602706e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000488,ACH-000018,10077147,1,6.479040622711182,0.0013322063023224473,-0.9261663556098938,-0.9264087080955505,0.00024235248565673828,0.00024235248565673828,1,ACH-000151,2.2991989681031555e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000491,ACH-000905,10368812,1,8.83211898803711,0.0022702792193740606,5.934215068817139,5.934248447418213,3.337860107421875e-05,-3.337860107421875e-05,1,ACH-000161,1.938475861607003e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000514,ACH-000380,10074640,1,15.05867862701416,0.0054013230837881565,3.848299503326416,3.848327398300171,2.7894973754882812e-05,-2.7894973754882812e-05,1,ACH-000186,1.8716942804530845e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000522,ACH-000493,11373846,1,12.711735725402832,0.00039524142630398273,-3.659487724304199,-3.65946626663208,2.1457672119140625e-05,-2.1457672119140625e-05,1,ACH-000168,2.2917790829524165e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000544,ACH-000290,104842,1,4.701584815979004,0.0015476035187020898,2.630654811859131,2.6305999755859375,5.4836273193359375e-05,5.4836273193359375e-05,1,ACH-000168,2.068150934064761e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000548,ACH-000315,10377751,1,8.033775329589844,0.0032834091689437628,0.7485736608505249,0.7479037046432495,0.0006699562072753906,0.0006699562072753906,1,ACH-000169,2.5277900022047106e-06,5.960464477539063e-08,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000587,ACH-000401,11152667,1,3.943364381790161,0.00016247107123490423,4.3292555809021,4.329239368438721,1.621246337890625e-05,1.621246337890625e-05,1,ACH-000169,1.7982883946388029e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000596,ACH-000303,11647372,1,11.725019454956055,0.00242973561398685,-0.14459091424942017,-0.14440706372261047,0.00018385052680969238,-0.00018385052680969238,1,ACH-000161,1.9885947040165775e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000611,ACH-000641,11977753,1,9.615044593811035,0.0005534352385438979,5.5204997062683105,5.5204081535339355,9.1552734375e-05,9.1552734375e-05,1,ACH-000174,1.9508104287524475e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000627,ACH-000484,11178236,1,10.9361572265625,0.002373426454141736,2.8599042892456055,2.8598718643188477,3.24249267578125e-05,3.24249267578125e-05,1,ACH-000181,2.4403252609772608e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000636,ACH-000380,10074640,1,13.011258125305176,0.0014917925000190735,3.848299503326416,3.848177194595337,0.00012230873107910156,0.00012230873107910156,1,ACH-000222,2.1039604689576663e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000665,ACH-000169,10368812,1,6.159670829772949,0.0009878288256004453,2.8821024894714355,2.881856918334961,0.0002455711364746094,0.0002455711364746094,1,ACH-000188,2.365894033573568e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000670,ACH-000938,11152667,1,9.369040489196777,1.334347871306818e-05,6.885806560516357,6.885802745819092,3.814697265625e-06,3.814697265625e-06,1,ACH-000200,1.7754276768755517e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000678,ACH-000768,10127622,1,15.012179374694824,0.002078015822917223,0.9166640043258667,0.9167739748954773,0.0001099705696105957,-0.0001099705696105957,1,ACH-000210,2.1442476736410754e-06,2.980232238769531e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000680,ACH-000072,104842,1,7.668642997741699,0.0006793942302465439,4.21575403213501,4.215644836425781,0.00010919570922851562,0.00010919570922851562,1,ACH-000222,1.8424246945869527e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000681,ACH-000414,10127622,1,7.206989288330078,0.0013274864759296179,1.633594274520874,1.6331474781036377,0.0004467964172363281,0.0004467964172363281,1,ACH-000186,2.5746812752913684e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000699,ACH-000450,10074640,1,6.7477521896362305,0.0007546055130660534,-1.769343614578247,-1.7691744565963745,0.0001691579818725586,-0.0001691579818725586,1,ACH-000186,2.303710971318651e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000714,ACH-000269,10027278,1,5.7954230308532715,0.006131844129413366,2.7208428382873535,2.7220640182495117,0.0012211799621582031,-0.0012211799621582031,1,ACH-000218,2.0337936348369112e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000720,ACH-000447,10027278,1,10.051162719726562,0.0003062343748752028,3.7594103813171387,3.759389877319336,2.0503997802734375e-05,2.0503997802734375e-05,1,ACH-000186,2.5725585146574304e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000727,ACH-000781,10368812,1,10.998011589050293,0.0015509326476603746,3.4859986305236816,3.4860239028930664,2.5272369384765625e-05,-2.5272369384765625e-05,1,ACH-000191,1.9877898012055084e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000756,ACH-000355,11754511,1,12.48827075958252,0.004282134119421244,0.4504743218421936,0.4495014250278473,0.0009728968143463135,0.0009728968143463135,1,ACH-000218,2.187006657550228e-06,2.980232238769531e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000756,ACH-000639,11152667,1,12.48827075958252,0.0005174778052605689,3.791024684906006,3.791102647781372,7.796287536621094e-05,-7.796287536621094e-05,1,ACH-000221,1.84247073775623e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000759,ACH-000291,10377751,1,5.076439380645752,0.003794242860749364,2.112499475479126,2.1124725341796875,2.6941299438476562e-05,2.6941299438476562e-05,1,ACH-000196,1.952113279912737e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000778,ACH-000396,10368812,1,9.465924263000488,0.0010347292991355062,3.3081741333007812,3.3082146644592285,4.0531158447265625e-05,-4.0531158447265625e-05,1,ACH-000231,2.531272457417799e-06,0.0,1
